,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,Median House Value
0,3.9816,27.0,4.928667563930014,1.1224764468371466,3009.0,4.049798115746972,33.73,-117.93,1.795
1,3.4531,23.0,4.021339220014717,1.099337748344371,2511.0,1.8476821192052981,34.14,-118.13,2.109
2,6.3942,4.0,5.681271810779372,1.0957735556417216,5613.0,2.1764249709189607,37.78,-121.95,3.567
3,2.2243,32.0,5.685220729366603,1.0095969289827256,1542.0,2.9596928982725528,38.69,-121.45,0.892
4,3.0217,9.0,5.006324110671937,1.0711462450592886,3265.0,2.58102766798419,37.69,-121.04,1.609
5,3.4191,52.0,4.530612244897959,0.8163265306122449,1107.0,11.295918367346939,39.73,-121.85,1.375
6,8.7974,4.0,6.146118721461187,0.9726027397260274,603.0,2.7534246575342465,33.68,-117.82,3.606
7,5.2124,9.0,5.329931972789115,1.0170068027210883,675.0,2.295918367346939,33.67,-117.81,1.996
8,3.4679,18.0,3.8483935742971886,1.0602409638554218,2192.0,2.2008032128514055,33.73,-117.98,2.197
9,4.8068,46.0,5.4638783269961975,1.0114068441064639,607.0,2.307984790874525,37.55,-122.32,3.697
10,7.5078,24.0,7.022857142857143,0.992,2710.0,3.097142857142857,34.3,-118.51,3.44
11,3.2176,27.0,5.32051282051282,0.9786324786324786,692.0,2.9572649572649574,34.11,-117.21,0.894
12,7.2147,19.0,8.618942731277533,1.013215859030837,1646.0,3.6255506607929515,33.6,-117.68,3.039
13,2.625,36.0,2.857142857142857,0.7142857142857143,64.0,4.571428571428571,37.94,-121.32,0.55
14,6.7927,17.0,7.122965641952984,0.9945750452079566,1694.0,3.0632911392405062,32.81,-117.06,2.347
15,4.3362,31.0,5.9450980392156865,0.9333333333333333,596.0,2.3372549019607844,34.16,-117.25,1.594
16,3.2151,7.0,3.353846153846154,1.0717948717948718,766.0,1.964102564102564,32.92,-117.14,1.063
17,4.775,14.0,6.235915492957746,1.0598591549295775,1046.0,3.683098591549296,32.72,-116.99,1.433
18,6.3719,26.0,6.972151898734177,1.0177215189873419,1128.0,2.8556962025316457,37.6,-122.41,4.669
19,2.8175,22.0,4.330964467005076,1.0253807106598984,2766.0,2.8081218274111674,32.81,-116.94,1.352
20,4.5391,14.0,6.016688061617458,1.017971758664955,2436.0,3.1270860077021823,33.37,-117.24,1.809
21,4.5938,18.0,6.153664302600473,1.1300236406619386,1158.0,2.7375886524822697,36.33,-119.32,1.505
22,5.2987,18.0,6.159325210871603,1.035613870665417,3473.0,3.254920337394564,34.32,-118.41,2.034
23,3.6429,26.0,5.836111111111111,1.0833333333333333,2171.0,6.030555555555556,38.57,-122.44,1.597
24,4.0873,18.0,5.452781371280724,1.0478654592496766,2104.0,2.721862871927555,32.84,-116.9,1.469
